Mem_used Mem_free Mem_total Mem_Disp Date Time Elapsed_time
1574992 3554816 7088316 5272900 2022-12-26 21:48:50 1065
1572956 3556836 7088316 5274968 2022-12-26 21:48:55 1070
1572300 3557480 7088316 5275612 2022-12-26 21:49:00 1075
1573872 3555868 7088316 5274040 2022-12-26 21:49:05 1080
1571948 3557780 7088316 5275900 2022-12-26 21:49:10 1085
1571664 3558052 7088316 5276176 2022-12-26 21:49:15 1090
1570256 3559440 7088316 5277584 2022-12-26 21:49:20 1095
1571404 3558284 7088316 5276432 2022-12-26 21:49:25 1100
1572172 3557496 7088316 5275660 2022-12-26 21:49:30 1105
1571824 3557828 7088316 5276008 2022-12-26 21:49:35 1110
1571140 3558496 7088316 5276684 2022-12-26 21:49:40 1115
1570616 3559008 7088316 5277208 2022-12-26 21:49:45 1120
1569764 3559844 7088316 5278060 2022-12-26 21:49:50 1125
1569956 3559640 7088316 5277872 2022-12-26 21:49:55 1130
1570632 3558932 7088316 5277196 2022-12-26 21:50:00 1135
1569724 3559828 7088316 5278104 2022-12-26 21:50:05 1140
1569576 3559964 7088316 5278252 2022-12-26 21:50:10 1145
1570584 3558940 7088316 5277252 2022-12-26 21:50:15 1150
1568748 3560768 7088316 5279088 2022-12-26 21:50:20 1155
1568680 3560816 7088316 5279156 2022-12-26 21:50:25 1160
1568400 3561084 7088316 5279436 2022-12-26 21:50:30 1165
1569332 3560136 7088316 5278512 2022-12-26 21:50:35 1170
1569388 3560068 7088316 5278456 2022-12-26 21:50:40 1175
1569564 3559872 7088316 5278280 2022-12-26 21:50:45 1180
1569868 3559556 7088316 5277996 2022-12-26 21:50:50 1185
1570872 3558556 7088316 5277000 2022-12-26 21:50:55 1190
1572840 3556572 7088316 5275016 2022-12-26 21:51:01 1195
1571744 3557656 7088316 5276112 2022-12-26 21:51:06 1200
1571148 3558236 7088316 5276708 2022-12-26 21:51:11 1205
1570828 3558544 7088316 5276976 2022-12-26 21:51:16 1210
1571676 3557680 7088316 5276108 2022-12-26 21:51:21 1215
1571540 3557804 7088316 5276260 2022-12-26 21:51:26 1220
1572328 3557000 7088316 5275472 2022-12-26 21:51:31 1225
1573776 3555540 7088316 5274012 2022-12-26 21:51:36 1230
1573140 3556176 7088316 5274660 2022-12-26 21:51:41 1235
1572948 3556352 7088316 5274852 2022-12-26 21:51:46 1240
1571984 3557308 7088316 5275816 2022-12-26 21:51:51 1245
1570424 3558848 7088316 5277376 2022-12-26 21:51:56 1250
1571924 3557332 7088316 5275872 2022-12-26 21:52:01 1255
1572596 3556644 7088316 5275200 2022-12-26 21:52:06 1260
1571320 3557908 7088316 5276476 2022-12-26 21:52:11 1265
1572480 3556732 7088316 5275320 2022-12-26 21:52:16 1270
1573536 3555664 7088316 5274264 2022-12-26 21:52:21 1275
1572516 3556672 7088316 5275284 2022-12-26 21:52:26 1280
1572220 3556952 7088316 5275580 2022-12-26 21:52:31 1285
1571968 3557192 7088316 5275832 2022-12-26 21:52:36 1290
1570992 3558148 7088316 5276808 2022-12-26 21:52:41 1295
1569820 3559308 7088316 5278080 2022-12-26 21:52:46 1300
1571992 3557120 7088316 5275924 2022-12-26 21:52:51 1305
1570748 3558352 7088316 5277120 2022-12-26 21:52:56 1310
1572284 3556804 7088316 5275584 2022-12-26 21:53:01 1315
1572896 3556176 7088316 5274972 2022-12-26 21:53:06 1320
1570792 3558264 7088316 5277072 2022-12-26 21:53:11 1325
1571916 3557124 7088316 5275948 2022-12-26 21:53:16 1330
1571960 3557064 7088316 5275900 2022-12-26 21:53:21 1335
1570664 3558348 7088316 5277192 2022-12-26 21:53:26 1340
1571980 3557020 7088316 5275880 2022-12-26 21:53:31 1345
1572288 3556696 7088316 5275580 2022-12-26 21:53:37 1350
1571636 3557336 7088316 5276240 2022-12-26 21:53:42 1355
